label,message
ham,"Hi how are you today?"
ham,"Can we meet tomorrow at 10 AM?"
spam,"Congratulations! You have won a free prize. Click now!"
ham,"Please send me the project report."
spam,"URGENT! You won $5000. Claim your reward now!"
ham,"Are you coming to college today?"
spam,"Win a free iPhone by clicking this link!"
ham,"Your meeting is scheduled for tomorrow."
spam,"Congratulations! You have been selected for a cash reward!"
ham,"Please call me when you reach home."
spam,"Get FREE money now! Limited time offer!"
ham,"Can you send me the assignment?"
spam,"You have won a lottery. Send your details to claim."
ham,"Good morning, have a nice day!"
spam,"Exclusive offer! Buy now and get 90 percent discount!"
ham,"Please remember to bring your notebook."
spam,"You are a lucky winner! Claim your prize immediately."
ham,"I will call you after class."
spam,"FREE vacation available! Click here to register."
ham,"Can we discuss the project this evening?"
spam,"Your account has won a bonus. Click to receive it."
ham,"Please submit the report before Friday."
spam,"Act now to receive your free gift!"
ham,"Happy birthday! Have a wonderful day."
spam,"Congratulations! You won a brand new car!"
ham,"Let's meet at the library."
spam,"Special promotion! Get a free gift today!"
ham,"The class starts at 9 AM tomorrow."
spam,"You have been chosen for a cash prize!"
ham,"Please send me the meeting details."
label,message
spam,"security@bank-alerts.com Your account has been suspended. Verify your account immediately."
spam,"support-paypal-alert@secure-paypal-login.com Your PayPal account requires urgent verification."
spam,"support-paypal-alert@secure-paypal-login.com Click here to verify your account."
spam,"security@bank-alerts.com Your bank account has been locked. Login now to restore access."
spam,"paypal-security@account-verification.com Your account will be closed unless you verify your identity."
spam,"urgent@bank-security-alert.com Suspicious activity detected. Confirm your account immediately."
spam,"account-security@secure-login-alert.com Your account has been compromised. Click the link to secure it."
spam,"verify@paypal-account-security.com Your payment account needs verification."
spam,"bank-alert@secure-banking-login.com Your account has been temporarily blocked. Verify now."
spam,"security-alert@onlinebanking-support.com Immediate action required. Confirm your banking information."
ham,"security@mybank.com Your monthly bank statement is now available."
ham,"support@example.com Thank you for contacting our support team."
ham,"friend@example.com Hi, how are you doing today?"
ham,"college@example.com Please submit your assignment tomorrow."
